time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-12-14T23:46:14.490Z,1.8125,-102.0771,10,4.7,mb,,193,16.028,0.94,us,us2000itqw,2018-12-15T00:56:36.040Z,"Galapagos Triple Junction region",earthquake,9.1,1.9,0.048,133,reviewed,us,us
2018-12-14T21:53:05.270Z,-21.9224,168.955,10,4.8,mb,,47,2.335,1.01,us,us2000itpu,2018-12-14T22:26:58.040Z,"118km ESE of Tadine, New Caledonia",earthquake,8.6,1.8,0.088,40,reviewed,us,us
2018-12-14T19:27:26.690Z,-0.0362,122.9699,148.82,5.2,mww,,27,1.018,0.97,us,us2000itp1,2018-12-15T17:00:43.040Z,"53km SSW of Bilungala, Indonesia",earthquake,5.8,3.7,0.071,19,reviewed,us,us
2018-12-14T16:02:11.000Z,26.3129,140.7072,468.81,5.2,mww,,54,1.534,0.81,us,us2000itlf,2018-12-14T16:20:25.040Z,"172km WSW of Chichi-shima, Japan",earthquake,10.2,6.5,0.065,23,reviewed,us,us
2018-12-14T09:56:04.610Z,-2.9838,-75.4398,144.11,4.8,mb,,89,3.847,0.85,us,us2000itj2,2018-12-14T10:11:29.040Z,"247km NE of Barranca, Peru",earthquake,4.7,8.3,0.071,62,reviewed,us,us
2018-12-14T08:11:43.970Z,-18.2423,-178.0958,537.36,4.8,mb,,81,3.698,1.04,us,us2000itij,2018-12-14T08:29:03.040Z,"273km NNE of Ndoi Island, Fiji",earthquake,12.4,8.6,0.074,56,reviewed,us,us
2018-12-14T08:04:34.090Z,37.8865,142.5578,32.02,4.8,mww,,97,1.399,0.78,us,us2000itie,2018-12-14T08:21:38.040Z,"124km ESE of Ishinomaki, Japan",earthquake,7.2,5,0.075,17,reviewed,us,us
2018-12-14T06:17:30.110Z,57.4154,-33.1747,10,5,mb,,94,7.304,0.65,us,us2000itht,2018-12-14T06:32:16.040Z,"Reykjanes Ridge",earthquake,6.1,1.9,0.045,159,reviewed,us,us
2018-12-14T05:46:57.430Z,-41.1414,-85.5027,10,4.8,mb,,132,9.016,0.72,us,us2000ithj,2018-12-14T06:04:04.040Z,"West Chile Rise",earthquake,10.8,1.9,0.079,50,reviewed,us,us
2018-12-14T04:36:02.110Z,36.1213,70.4806,118.64,4.9,mb,,69,1.694,1.24,us,us2000itgw,2018-12-14T04:53:30.040Z,"28km WNW of `Alaqahdari-ye Kiran wa Munjan, Afghanistan",earthquake,6.3,6.8,0.102,30,reviewed,us,us
2018-12-14T00:52:30.510Z,12.4329,-88.0813,35,4.5,mb,,78,1.04,0.87,us,us2000itfs,2018-12-14T01:22:12.129Z,"76km WSW of Jiquilillo, Nicaragua",earthquake,5.6,2,0.048,128,reviewed,us,us
2018-12-13T17:17:07.780Z,-2.9532,119.3729,10,4.5,mb,,83,2.081,0.83,us,us2000it8w,2018-12-17T23:37:24.040Z,"1km SSW of Mamasa, Indonesia",earthquake,4.4,1.9,0.144,14,reviewed,us,us
2018-12-13T15:44:29.800Z,36.5241,70.5289,199.58,4.6,mb,,53,1.351,0.9,us,us2000it8i,2018-12-14T18:00:47.040Z,"46km SW of Jarm, Afghanistan",earthquake,4.3,7.7,0.095,34,reviewed,us,us
2018-12-13T15:39:44.780Z,29.6591,98.8042,19.71,4.7,mb,,34,6.679,1.21,us,us2000it8b,2018-12-14T17:39:55.040Z,"24km E of Gartog, China",earthquake,6.6,3.8,0.082,45,reviewed,us,us
2018-12-13T15:32:55.560Z,29.7226,98.7909,37.19,5,mb,,20,6.666,0.75,us,us2000it8a,2018-12-16T05:05:22.780Z,"23km E of Gartog, China",earthquake,6.9,5.9,0.043,175,reviewed,us,us
