time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-12-19T09:33:44.610Z,38.7719994,-122.7005005,0.76,1.1,md,8,131,0.003934,0.06,nc,nc73123065,2018-12-19T10:13:03.015Z,"1km WSW of Anderson Springs, CA",earthquake,0.33,0.41,0.09,2,automatic,nc,nc
2018-12-19T09:33:33.922Z,63.6332,-147.0083,36.3,1.7,ml,,,,0.83,ak,ak20522793,2018-12-19T09:36:23.666Z,"77km SW of Delta Junction, Alaska",earthquake,,6.9,,,automatic,ak,ak
2018-12-19T09:33:11.308Z,61.5482,-150.1527,53.2,1.9,ml,,,,1.03,ak,ak20522792,2018-12-19T09:43:47.180Z,"10km WNW of Big Lake, Alaska",earthquake,,0.4,,,automatic,ak,ak
2018-12-19T09:29:02.635Z,61.3563,-150.1046,21.7,2.5,ml,,,,0.86,ak,ak20522788,2018-12-19T09:39:04.920Z,"18km NW of Anchorage, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-12-19T09:22:55.470Z,61.4574,-150.065,39.2,1.6,ml,,,,0.55,ak,ak20522787,2018-12-19T09:25:48.438Z,"9km SW of Big Lake, Alaska",earthquake,,0.7,,,automatic,ak,ak
2018-12-19T08:52:31.150Z,17.9983,-66.5883,13,1.06,md,3,306,0.048,0.16,pr,pr2018353011,2018-12-19T13:45:01.661Z,"3km ESE of Ponce, Puerto Rico",earthquake,10.35,2.87,0.22,2,reviewed,pr,pr
2018-12-19T08:40:52.930Z,33.4936667,-116.7913333,4.95,0.31,ml,11,154,0.08459,0.07,ci,ci38166647,2018-12-19T14:23:37.117Z,"9km NE of Aguanga, CA",earthquake,0.31,1.01,0.11,5,reviewed,ci,ci
2018-12-19T08:34:37.474Z,63.1124,-148.314,81.9,1.9,ml,,,,1.07,ak,ak20522775,2018-12-19T08:38:10.893Z,"44km SE of Cantwell, Alaska",earthquake,,1.1,,,automatic,ak,ak
2018-12-19T08:33:33.257Z,63.016,-146.5487,180,3.1,ml,,,,1.04,ak,ak20522771,2018-12-19T08:47:24.482Z,"113km NNW of Glennallen, Alaska",earthquake,,1.1,,,automatic,ak,ak
2018-12-19T08:21:46.249Z,61.4214,-150.056,41.1,1.5,ml,,,,0.49,ak,ak20522770,2018-12-19T08:25:26.005Z,"12km SSW of Big Lake, Alaska",earthquake,,0.7,,,automatic,ak,ak
